,SA,Saudia_Arabia,singapore,Spain,srilanka,sweden,switzerland,taiwan,tanzania,thailand,Togo,Turkey,UAE,uganda,ukraine,uruguay,US,uzbekistan,Venezuela,Vietnam,Yemen,zambia,zimbabwe
200,,,,,,Recipharm,Margaret Curran,,,,,,the health medical services,,RubyGarage,,,,,,,Rd. Bhatts Med & DENTAL Services,
201,,,,,,Scandinavian Biopharma Holding,Birth Gramm,,,,,,universal hospital,,Hygge Software,,,,,,,Chemopharm,
202,,,,,,Umecrine Cognition,Anagram Consultants,,,,,,university hospital sharjah,,Blackthorn Vision,,,,,,,Beverly Eye Clinic,
203,,,,,,Xspray Pharma,Osteopath,,,,,,via medica international healthcare,,DevCom,,,,,,,Kopa Specialist Clinic,
204,,,,,,AlphaHelix,0,,,,,,wellness one day surgery center,,Existek,,,,,,,Hilltop Hospital,
205,,,,,,Annexin Pharmaceuticals,,,,,,,0,,Pixetic,,,,,,,Dr Dilobar?s Clinic,
206,,,,,,Athera Biotechnologies,Carbogen Amcis,,,,,,Other related lists:,,ByteAnt,,,,,,,Company Clinic,
207,,,,,,Atrogi,Kerecis,,,,,,Ain Al Khaleej Hospital,,The Awesome Company,,,,,,,Wusakile General Health Care,
208,,,,,,BioArctic,Acino,,,,,,Delma Medical Center,,Django Stars,,,,,,,Morningrise Surgery,
209,,,,,,BioGaia,Acino,,,,,,Mourany Orthodontic & Dental Center,,Sigma Software,,,,,,,Kitwe Polyclinic,
210,,,,,,Bioinformatics Consultants,Alibion,,,,,,Home Fitness For Ladies,,Abto Software,,,,,,,Progress Medical,
211,,,,,,BioLamina,Avrion Therapeutics,,,,,,Sama Alshamkha Medical Center,,,,,,,,,Kitwe Central Hospital (PAMSCO),
212,,,,,,Bluefish Pharmaceuticals,Captor Therapeutics,,,,,,Be You Clinic,,,,,,,,,Kano DENTAL,
213,,,,,,Calliditas Therapeutics,Idorsia,,,,,,GRMC Pest Control,,,,,,,,,Indafro Limited,
214,,,,,,Coala Life,Polyphor,,,,,,Hamad Medical Corporation - Kenexa,,,,,,,,,Hillview Medical Centre,
215,,,,,,Diamyd Medical,Sunregen Healthcare,,,,,,Mediclinic Middle East,,,,,,,,,Carewell Oasis Medical,
216,,,,,,Egetis Therapeutics,Synendos Therapeutics,,,,,,Al Noor Hospitals Group,,,,,,,,,Zubeda Clinic,
217,,,,,,Elekta,Clinuvel Pharmaceuticals,,,,,,Cleveland Clinic Abu Dhabi,,,,,,,,,Kafue District Hospital,
218,,,,,,Elypta,CorFlow Therapeutics,,,,,,Dr. Sulaiman Al Habib Medical Center (HMC),,,,,,,,,Zambia Radiological & Imaging Co,
219,,,,,,FenoMark Diagnostics,APR Applied Pharma Research,,,,,,Sidra Medical and Research Center - Kenexa,,,,,,,,,Vision Care Centre,
220,,,,,,Immunicum,Acthera,,,,,,Al Zahrawi Medical Supplies,,,,,,,,,Viva Med Hospital,
221,,,,,,InDex Pharmaceuticals,Alentis Therapeutics,,,,,,Varian Medical Systems,,,,,,,,,Victoria Hospital,
222,,,,,,Infant Bacterial Therapeutics,AMYRA Biotech,,,,,,MedServe,,,,,,,,,University Teaching Hospital,
223,,,,,,ITB Med,Anaveon ,,,,,,Getinge Group Middle East,,,,,,,,,U Z Dental Clinic,
224,,,,,,Karo Pharma,Artidis,,,,,,Novartis - UK,,,,,,,,,Tokyo OPTICIANS,
225,,,,,,MetaboGen,Aruvant Sciences,,,,,,Total Alliance Health Partners International - TAHPI,,,,,,,,,Teba Hospital,
226,,,,,,Moberg Pharma,Ascensia Diabetes Care,,,,,,Medtronic,,,,,,,,,Sun Bird Eye Clinic,
227,,,,,,Modus Therapeutics,Aurealis Pharma,,,,,,Life Pharmacy,,,,,,,,,St. John Paul II,
228,,,,,,NuvoAir,Aurealis Therapeutics,,,,,,Neuro Spinal Hospital,,,,,,,,,ST John?s Hospital,
229,,,,,,Oblique Therapeutics,Auris Medical,,,,,,Global Health Partner,,,,,,,,,St George?s Clinic,
230,,,,,,Octapharma,Auris Medical,,,,,,Bin Drai Enterprises,,,,,,,,,Smile Medical & DENTAL Clinic,
231,,,,,,Oncopeptides,Baliopharm,,,,,,Elaj Medical Center,,,,,,,,,Revive Zambia,
232,,,,,,OxThera,Basilea Pharmaceutica,,,,,,,,,,,,,,,Ruth Kaluluma Memorial Clinic,
233,,,,,,Peptonic Medical,BioVersys,,,,,,,,,,,,,,,Reliance Dental Services,
234,,,,,,Procella Therapeutics,Bright Peak Therapeutics,,,,,,0,,,,,,,,,Phil OPTICIANS,
235,,,,,,Rare Thyroid Therapeutics,CanVirex,,,,,,Other related lists:,,,,,,,,,PHI Family Clinic,
236,,,,,,RaySearch Laboratories,Caris Life Sciences,,,,,,Advanced Hair Studio,,,,,,,,,Premium Medical Services,
237,,,,,,Recipharm,Cellec Biotek,,,,,,Al Mofadaly Trading,,,,,,,,,Pendleton Family Practice Ltd,
238,,,,,,Recipharm,Cellestia Biotech,,,,,,Arab Doctors Specialist Center,,,,,,,,,Pearl of Health Hospital and Clinic,
239,,,,,,Redwood Pharma,Celonic,,,,,,Alliance Global,,,,,,,,,Optimal Medical Centre,
240,,,,,,Salipro Biotech,CS Bio,,,,,,Gold?s Gym,,,,,,,,,Mutti Medical Centre,
241,,,,,,Scibase,DDi,,,,,,Pulse Center,,,,,,,,,Mum?s Care Clinics,
242,,,,,,Sigrid Therapeutics,EsoCap,,,,,,Eve Medical Center,,,,,,,,,MKP TMS Hospital,
243,,,,,,Single Technologies,FoRx Therapeutics,,,,,,DNA Health,,,,,,,,,Metropolis Healthcare Zambia LTD,
244,,,,,,Sixera Pharma,Genedata,,,,,,United Medical Supplies (UNIMED),,,,,,,,,Medcross Hospital,
245,,,,,,Swedish Orphan Biovitrum,Infors,,,,,,UpToDate - Netherlands,,,,,,,,,Magnum Medical centre,
246,,,,,,Synphora,Lonza,,,,,,CB - Ovid Technologies (Wolters Kluwer Health),,,,,,,,,Lusaka Trust Hospital,
247,,,,,,Tirmed Pharma,MEDARTIS,,,,,,Lifeline Hospital,,,,,,,,,Lusaka Adventist Clinic,
248,,,,,,Xbrane Biopharma,Mepha,,,,,,Roche Diagnostics,,,,,,,,,Lilayi Family Clinic,
249,,,,,,Pfizer,Metys Pharmaceuticals,,,,,,Vivoteq (Middle East),,,,,,,,,Lancet Nkanza Laboratories,
250,,,,,,Recipharm,Monte Rosa Therapeutics.,,,,,,Scientific Clinical Laboratories,,,,,,,,,Hilltop Hospital,
251,,,,,,Karessa Pharma,NBE Therapeutics,,,,,,The Grooming Company,,,,,,,,,Family Trust Medical Centre,
252,,,,,,Bactiguard,Noema Pharma,,,,,,Hospira,,,,,,,,,Kabelenga Family Hospital,
253,,,,,,Betagenon,Noorik Biopharmaceuticals,,,,,,Manara Healthcare Company (MHC),,,,,,,,,Good Esthetics,
254,,,,,,InfiCure Bio,Nouscom,,,,,,Richmond Medical,,,,,,,,,Link Pharmacy,
255,,,,,,Lipigon Pharmaceuticals,Novaremed ,,,,,,Montméd,,,,,,,,,Eyemax Opticians,
256,,,,,,Lipum,Novartis,,,,,,EMSA Limited,,,,,,,,,Vikay Pharmacy,
257,,,,,,Omnio,Oxford BioTherapeutics,,,,,,Jumeira Beach Dental Clinic (JBDC),,,,,,,,,Kayiwale Medical Centre,
258,,,,,,Quretech Bio,Perseo Pharma,,,,,,Medi-Weightloss,,,,,,,,,Healing Touch Clinic,
259,,,,,,Beactica Therapeutics,Piqur Therapeutics,,,,,,Mercury Middle East,,,,,,,,,Lusaka Chemist,
260,,,,,,Bio-Works,Polyneuron Pharmaceuticals,,,,,,Risopharma Tech Inc.,,,,,,,,,Forest Park Specialized Hospital,
261,,,,,,Bioimics,Roche,,,,,,,,,,,,,,,Family Care Dental Surgery,
262,,,,,,Biotage,Roivant Sciences,,,,,,,,,,,,,,,Fairview Hospital/ Medicare International,
263,,,,,,Biovica ,SFL Regulatory Affairs & Scientific Communication,,,,,,0,,,,,,,,,Emergency Response Zambia,
264,,,,,,Circassia Pharmaceuticals,Stratpharma,,,,,,Vasan Eye Care,,,,,,,,,Eye- Co OPTICIANS,
265,,,,,,DexTech Medical,Straumann,,,,,,Bupa,,,,,,,,,Dr Agarwal?s Eye Hospital,
266,,,,,,Double Bond Pharmaceutical,Strekin,,,,,,SRL Diagnostics,,,,,,,,,Double Six OPTICIANS,
267,,,,,,Emplicure,T3 Pharmaceuticals,,,,,,University Hospital Sharjah,,,,,,,,,Dentalllive Clinic,
268,,,,,,Gradientech,Targazyme,,,,,,Canadian Specialist Hospital,,,,,,,,,DENTAL Training School,
269,,,,,,Gyros,TargImmune Therapeutics,,,,,,Roesys,,,,,,,,,Dazzling DENTAL Clinic,
270,,,,,,Gyros Protein Technologies,Valerius Biopharma,,,,,,Rashid Hospital,,,,,,,,,CorpMed Medical Centre,
271,,,,,,Ilya Pharma,Vaximm,,,,,,Private,,,,,,,,,Coptic Hospital,
272,,,,,,Lidds,VectivBio,,,,,,MedNet-UAE,,,,,,,,,Clear Vision Centre,
273,,,,,,Lobsor Pharmaceuticals,Versameb,,,,,,Modern Pharmaceutical,,,,,,,,,City DENTAL,
274,,,,,,Lobsor Pharmaceuticals,Teleflex Medical,,,,,,,,,,,,,,,Chisomo Hospital,
275,,,,,,Lokon Pharma,AlveoliX,,,,,,,,,,,,,,,Care for Business,
276,,,,,,Nanexa,certus molecular diagnostics,,,,,,,,,,,,,,,Cardinal Adams Mem. Hospital,
277,,,,,,Neoproteomics,Helsinn,,,,,,,,,,,,,,,Bupilo Family Health Clinic,
278,,,,,,Oasmia Pharmaceutical,EpiPharm,,,,,,,,,,,,,,,Beit Cure International,
279,,,,,,Olink Proteomics,Legacy Pharmaceuticals,,,,,,,,,,,,,,,Baba Medical Centre,
280,,,,,,Orexo,Hamilton medical,,,,,,,,,,,,,,,ALWIMA Medical Centre,
281,,,,,,QuiaPEG Pharmaceuticals,Bachem,,,,,,,,,,,,,,,PROVIDER NAME,
282,,,,,,Recipharm,Carbogen Amcis,,,,,,,,,,,,,,,Lewanika General Hospital,
283,,,,,,Senzime ,CIS Pharma,,,,,,,,,,,,,,,Upperland Private Clinic,
284,,,,,,Synartro,MilliporeSigma,,,,,,,,,,,,,,,Monze Mission Hospital,
285,,,,,,Vivolux,Roche,,,,,,,,,,,,,,,El Shalom Clinic,
286,,,,,,Agrisera,Ypsomed,,,,,,,,,,,,,,,Victoria Hospital,
287,,,,,,TikoMed,Medacta,,,,,,,,,,,,,,,Mazabuka Medical Clinic,
288,,,,,,0,Tanner Pharma Group,,,,,,,,,,,,,,,Mazabuka General Hospital,
289,,,,,,"Östersund/Ledkrysset , STF Hostel",Baccinex,,,,,,,,,,,,,,,Sunbird Opticians,
290,,,,,,Ersta Diakonia,Senn Chemicals,,,,,,,,,,,,,,,DR SHAFIK HOSPITAL,
291,,,,,,Nordanstigs kommun,Nemis Technologies,,,,,,,,,,,,,,,Royal Professionals medical,
292,,,,,,Biotage,AC Bioscience,,,,,,,,,,,,,,,Mukuni Medical Centre,
293,,,,,,Aneby,Anokion,,,,,,,,,,,,,,,Livingstone General Hospital,
294,,,,,,Oncopeptides,Polares Medical,,,,,,,,,,,,,,,Health & Glow Pharmacy,
295,,,,,,BioGaia,MetP Pharma,,,,,,,,,,,,,,,Maamba District Hospital,
296,,,,,,Feelgood Svenska,Abionic,,,,,,,,,,,,,,,Olive Medi Clinic,
297,,,,,,Avonova Hälsa,ADC Therapeutics,,,,,,,,,,,,,,,Dr. Jain Surgery,
298,,,,,,Pfizer Sweden,Dorphan,,,,,,,,,,,,,,,Choma General Hospital,
299,,,,,,Pajala,Elanix Biotechnologies,,,,,,,,,,,,,,,Tusekelemo Community Clinic,
300,,,,,,Cobra Biologics,Mymetics,,,,,,,,,,,,,,,Mukowa Pharmacy,
301,,,,,,Stockholms Ögonklinik,Novigenix,,,,,,,,,,,,,,,Mukuni Insurance Clinics,
302,,,,,,NU-sjukvården,Preclin Biosystems,,,,,,,,,,,,,,,Kabwe Mine Hospital,
303,,,,,,Falkapings Kommun,Xigen,,,,,,,,,,,,,,,Kabwe Medical Consultation Centre,
304,,,,,,Sveriges Akademiska Idrottsförbund,Siegfried,,,,,,,,,,,,,,,Kabwe General Hospital,
305,,,,,,Alk Sverige,Dinaqor,,,,,,,,,,,,,,,Kamoto Mission Hospital,
306,,,,,,Turistbyrån,EffRx Pharmaceuticals,,,,,,,,,,,,,,,St. Francis Mission Hospital,
307,,,,,,Polisförbundet,Alcon,,,,,,,,,,,,,,,EJIS Professional Clinic,
308,,,,,,Smile Tandvård,Addex Therapeutics,,,,,,,,,,,,,,,Chipata HealthCare,
309,,,,,,Getinge,AMAL Therapeutics,,,,,,,,,,,,,,,Chipata General Hospital,
310,,,,,,Q-linea,Antion Biosciences,,,,,,,,,,,,,,,Fort Jameson Infirmary,
311,,,,,,Sedana Medical,,,,,,,,,,,,,,,,Mwami Adventist Hospital,
312,,,,,,Arjo,Chord Therapeutics,,,,,,,,,,,,,,,Kayiwale Care and Cure,
313,,,,,,Elekta,Combioxin,,,,,,,,,,,,,,,Lundazi District Hospital,
314,,,,,,SpectraCure,Cytel,,,,,,,,,,,,,,,Chitokoloki Mission Hospital,
315,,,,,,Humana,Epithelix Sarl,,,,,,,,,,,,,,,Zambezi District Hospital,
316,,,,,,Boule Diagnostics,Ergomed,,,,,,,,,,,,,,,Bumi Clinic,
317,,,,,,Paxman,GeNeuro,,,,,,,,,,,,,,,Sunbird Opticians,
318,,,,,,Attendo,Geneva Bioinformatics,,,,,,,,,,,,,,,St. Johns Medical Centre,
319,,,,,,Glycorex Transplantation,Geneva Biotech,,,,,,,,,,,,,,,Solwezi General Hospital,
320,,,,,,Iconovo,iOnctura,,,,,,,,,,,,,,,Hilltop Hospital,
321,,,,,,SyntheticMR,Light Chain Bioscience,,,,,,,,,,,,,,,Kasama General Hospital,
322,,,,,,Bactiguard Holding,Maxivax,,,,,,,,,,,,,,,Hilltop Hospital Kasama,
323,,,,,,Calmark Sweden,Neurix,,,,,,,,,,,,,,,Home of Compassion Hospital,
324,,,,,,BrainCool,ObsEva,,,,,,,,,,,,,,,Mansa General Hospital,
325,,,,,,Medicover,Orion Biotechnology,,,,,,,,,,,,,,,Malcom Watson Hospital,
326,,,,,,Xvivo Perfusion,PregLem,,,,,,,,,,,,,,,Roan General Hospital,
327,,,,,,Elos Medtech,Prexton Therapeutics,,,,,,,,,,,,,,,CNMC Luanshya Mine Hospital,
328,,,,,,FRISQ Holding,Relief Therapeutics,,,,,,,,,,,,,,,Dr. Bhatt?s Medical Center,
329,,,,,,ProstaLund,SPD Development Company,,,,,,,,,,,,,,,Nchanga North General Hospital,
330,,,,,,Dedicare,TRB Chemedica International,,,,,,,,,,,,,,,African Medicare Services,
331,,,,,,Dignitana AB (publ.),UBC,,,,,,,,,,,,,,,Nchanga South (KCM Hospital),
332,,,,,,Feelgood Svenska,Stalicla,,,,,,,,,,,,,,,Konkola Copper Mine Hospital,
333,,,,,,,Vifor Pharma,,,,,,,,,,,,,,,Tokyo OPTICIANS,
334,,,,,,,BrightInsight,,,,,,,,,,,,,,,Sunbird OPTICIANS,
335,,,,,,,Biolingus,,,,,,,,,,,,,,,Health View Medical Services,
336,,,,,,,Akorn,,,,,,,,,,,,,,,Mary Begg Community Clinic,
337,,,,,,,PreAnalytiX,,,,,,,,,,,,,,,Chinan Clinic,
338,,,,,,,PreComb Therapeutics,,,,,,,,,,,,,,,Telnor Medical Clinic,
339,,,,,,,Carbogen Amcis,,,,,,,,,,,,,,,Arthur Davison Children?s Hospital,
340,,,,,,,Roche,,,,,,,,,,,,,,,Ndola Central Hospital,
341,,,,,,,Sibreax,,,,,,,,,,,,,,,Rd. Bhatts Med & DENTAL Services,
342,,,,,,,Vicarius Pharma,,,,,,,,,,,,,,,Chemopharm,
343,,,,,,,Rhizen Pharmaceuticals,,,,,,,,,,,,,,,Beverly Eye Clinic,
344,,,,,,,AB2 Bio,,,,,,,,,,,,,,,Kopa Specialist Clinic,
345,,,,,,,AC Immune,,,,,,,,,,,,,,,Hilltop Hospital,
346,,,,,,,Aleva Neurotherapeutics,,,,,,,,,,,,,,,Dr Dilobar?s Clinic,
347,,,,,,,Asceneuron,,,,,,,,,,,,,,,Company Clinic,
348,,,,,,,Debiopharm,,,,,,,,,,,,,,,Wusakile General Health Care,
349,,,,,,,Debiopharm,,,,,,,,,,,,,,,Morningrise Surgery,
350,,,,,,,Gene Signal,,,,,,,,,,,,,,,Kitwe Polyclinic,
351,,,,,,,GenomSys,,,,,,,,,,,,,,,Progress Medical,
352,,,,,,,HayaTherapeutics,,,,,,,,,,,,,,,Kitwe Central Hospital (PAMSCO),
353,,,,,,,Loop Medical,,,,,,,,,,,,,,,Kano DENTAL,
354,,,,,,,Lunaphore Technologies,,,,,,,,,,,,,,,Indafro Limited,
355,,,,,,,Oculis,,,,,,,,,,,,,,,Hillview Medical Centre,
356,,,,,,,PBandB,,,,,,,,,,,,,,,Carewell Oasis Medical,
357,,,,,,,RS Research,,,,,,,,,,,,,,,Zubeda Clinic,
358,,,,,,,Saphetor,,,,,,,,,,,,,,,Kafue District Hospital,
359,,,,,,,Sensimed ,,,,,,,,,,,,,,,Zambia Radiological & Imaging Co,
360,,,,,,,Enzo Life Sciences,,,,,,,,,,,,,,,Vision Care Centre,
361,,,,,,,Regen Lab,,,,,,,,,,,,,,,Viva Med Hospital,
362,,,,,,,Acino,,,,,,,,,,,,,,,Lewanika General Hospital,
363,,,,,,,AdipoGen,,,,,,,,,,,,,,,Victoria Hospital,
364,,,,,,,CordenPharma,,,,,,,,,,,,,,,Upperland Private Clinic,
365,,,,,,,Santhera Pharmaceuticals,,,,,,,,,,,,,,,University Teaching Hospital,
366,,,,,,,SLA Pharma,,,,,,,,,,,,,,,Monze Mission Hospital,
367,,,,,,,Tecuro,,,,,,,,,,,,,,,U Z Dental Clinic,
368,,,,,,,Adienne Pharma and Biotech,,,,,,,,,,,,,,,El Shalom Clinic,
369,,,,,,,Cerbios-Pharma,,,,,,,,,,,,,,,Tokyo OPTICIANS,
370,,,,,,,Gain Therapeutics,,,,,,,,,,,,,,,Victoria Hospital,
371,,,,,,,IBSA Institut Biochimique,,,,,,,,,,,,,,,Teba Hospital,
372,,,,,,,mAbxience,,,,,,,,,,,,,,,Mazabuka Medical Clinic,
373,,,,,,,Phargentis,,,,,,,,,,,,,,,Sun Bird Eye Clinic,
374,,,,,,,Senexta Therapeutics,,,,,,,,,,,,,,,Mazabuka General Hospital,
375,,,,,,,Helsinn,,,,,,,,,,,,,,,St. John Paul II,
376,,,,,,,Bio-Xtal,,,,,,,,,,,,,,,Sunbird Opticians,
377,,,,,,,CeQur,,,,,,,,,,,,,,,ST John?s Hospital,
378,,,,,,,Norgine,,,,,,,,,,,,,,,DR SHAFIK HOSPITAL,
379,,,,,,,Tecan,,,,,,,,,,,,,,,St George?s Clinic,
380,,,,,,,Rivopharm,,,,,,,,,,,,,,,Royal Professionals medical,
381,,,,,,,Aginko Research,,,,,,,,,,,,,,,Smile Medical & DENTAL Clinic,
382,,,,,,,InnoMedica,,,,,,,,,,,,,,,Mukuni Medical Centre,
383,,,,,,,Swant,,,,,,,,,,,,,,,Revive Zambia,
384,,,,,,,AMS Biotechnology,,,,,,,,,,,,,,,Livingstone General Hospital,
385,,,,,,,cellvie,,,,,,,,,,,,,,,Ruth Kaluluma Memorial Clinic,
386,,,,,,,Sintetica,,,,,,,,,,,,,,,Health & Glow Pharmacy,
387,,,,,,,Labatec Pharma,,,,,,,,,,,,,,,Reliance Dental Services,
388,,,,,,,Alpex Pharma,,,,,,,,,,,,,,,Maamba District Hospital,
389,,,,,,,Grunenthal,,,,,,,,,,,,,,,Phil OPTICIANS,
390,,,,,,,,,,,,,,,,,,,,,,Olive Medi Clinic,
391,,,,,,,Accuray,,,,,,,,,,,,,,,PHI Family Clinic,
392,,,,,,,Tolremo Therapeutics,,,,,,,,,,,,,,,Dr. Jain Surgery,
393,,,,,,,Vectura,,,,,,,,,,,,,,,Premium Medical Services,
394,,,,,,,Novostia ,,,,,,,,,,,,,,,Choma General Hospital,
395,,,,,,,One Drop Diagnostics,,,,,,,,,,,,,,,Pendleton Family Practice Ltd,
396,,,,,,,Pulmonx,,,,,,,,,,,,,,,Tusekelemo Community Clinic,
397,,,,,,,AlveoliX,,,,,,,,,,,,,,,Pearl of Health Hospital and Clinic,
398,,,,,,,unicyte,,,,,,,,,,,,,,,Mukowa Pharmacy,
399,,,,,,,Sensile Medical,,,,,,,,,,,,,,,Mukuni Insurance Clinics,
400,,,,,,,DiNAQOR,,,,,,,,,,,,,,,Optimal Medical Centre,
401,,,,,,,Abologix,,,,,,,,,,,,,,,Mutti Medical Centre,
402,,,,,,,Calypso Biotech,,,,,,,,,,,,,,,Kabwe Mine Hospital,
403,,,,,,,Genoma,,,,,,,,,,,,,,,Mum?s Care Clinics,
404,,,,,,,Selexis,,,,,,,,,,,,,,,Kabwe Medical Consultation Centre,
405,,,,,,,Stragen Pharma,,,,,,,,,,,,,,,MKP TMS Hospital,
406,,,,,,,Kona Pharma,,,,,,,,,,,,,,,Kabwe General Hospital,
407,,,,,,,Neovii Biotech,,,,,,,,,,,,,,,Metropolis Healthcare Zambia LTD,
408,,,,,,,BeVivo,,,,,,,,,,,,,,,Kamoto Mission Hospital,
409,,,,,,,Horizon Therapeutics,,,,,,,,,,,,,,,St. Francis Mission Hospital,
410,,,,,,,Roche,,,,,,,,,,,,,,,Medcross Hospital,
411,,,,,,,Tillotts Pharma,,,,,,,,,,,,,,,EJIS Professional Clinic,
412,,,,,,,Geistlich Pharma,,,,,,,,,,,,,,,Magnum Medical centre,
413,,,,,,,Alcon,,,,,,,,,,,,,,,Chipata HealthCare,
414,,,,,,,Amgen,,,,,,,,,,,,,,,Lusaka Trust Hospital,
415,,,,,,,Roche,,,,,,,,,,,,,,,Chipata General Hospital,
416,,,,,,,SOPHiA GENETICS,,,,,,,,,,,,,,,Lusaka Adventist Clinic,
417,,,,,,,ImmuPharma ,,,,,,,,,,,,,,,Fort Jameson Infirmary,
418,,,,,,,Alcon,,,,,,,,,,,,,,,Lilayi Family Clinic,
419,,,,,,,Biedermann Motech,,,,,,,,,,,,,,,Mwami Adventist Hospital,
420,,,,,,,Cilag,,,,,,,,,,,,,,,Lancet Nkanza Laboratories,
421,,,,,,,TE Connectivity,,,,,,,,,,,,,,,Hilltop Hospital,
422,,,,,,,Aseda Sciences,,,,,,,,,,,,,,,Kayiwale Care and Cure,
423,,,,,,,Histide,,,,,,,,,,,,,,,Lundazi District Hospital,
424,,,,,,,Oncompass Medicine,,,,,,,,,,,,,,,Family Trust Medical Centre,
425,,,,,,,Acthera,,,,,,,,,,,,,,,Chitokoloki Mission Hospital,
426,,,,,,,Biognosys,,,,,,,,,,,,,,,Kabelenga Family Hospital,
427,,,,,,,CDR-Life,,,,,,,,,,,,,,,Zambezi District Hospital,
428,,,,,,,Cutiss,,,,,,,,,,,,,,,Good Esthetics,
429,,,,,,,Elthera,,,,,,,,,,,,,,,Bumi Clinic,
430,,,,,,,ImmunOs Therapeutics,,,,,,,,,,,,,,,Link Pharmacy,
431,,,,,,,InSphero,,,,,,,,,,,,,,,Sunbird Opticians,
432,,,,,,,Kuros Biosciences,,,,,,,,,,,,,,,Eyemax Opticians,
433,,,,,,,LimmaTech Biologics,,,,,,,,,,,,,,,Vikay Pharmacy,
434,,,,,,,Mabylon,,,,,,,,,,,,,,,St. Johns Medical Centre,
435,,,,,,,Memo Therapeutics,,,,,,,,,,,,,,,Kayiwale Medical Centre,
436,,,,,,,Neurimmune ,,,,,,,,,,,,,,,Solwezi General Hospital,
437,,,,,,,Proteomedix,,,,,,,,,,,,,,,Hilltop Hospital,
438,,,,,,,Redbiotec,,,,,,,,,,,,,,,Healing Touch Clinic,
439,,,,,,,Roche,,,,,,,,,,,,,,,Lusaka Chemist,
440,,,,,,,Topadur Pharma,,,,,,,,,,,,,,,Kasama General Hospital,
441,,,,,,,Virometix,,,,,,,,,,,,,,,Forest Park Specialized Hospital,
442,,,,,,,Ypsomed,,,,,,,,,,,,,,,Hilltop Hospital Kasama,
443,,,,,,,Sonceboz,,,,,,,,,,,,,,,Family Care Dental Surgery,
444,,,,,,,Ferring Pharmaceuticals,,,,,,,,,,,,,,,Home of Compassion Hospital,
445,,,,,,,Biosynth,,,,,,,,,,,,,,,Fairview Hospital/ Medicare International,
446,,,,,,,NLS Pharma,,,,,,,,,,,,,,,Mansa General Hospital,
447,,,,,,,SynDermix,,,,,,,,,,,,,,,Emergency Response Zambia,
448,,,,,,,Neurim Pharmaceuticals,,,,,,,,,,,,,,,Malcom Watson Hospital,
449,,,,,,,BioTek Instruments,,,,,,,,,,,,,,,Eye- Co OPTICIANS,
450,,,,,,,Scailyte,,,,,,,,,,,,,,,Roan General Hospital,
451,,,,,,,NanoLive,,,,,,,,,,,,,,,Dr Agarwal?s Eye Hospital,
452,,,,,,,Securecell,,,,,,,,,,,,,,,CNMC Luanshya Mine Hospital,
453,,,,,,,iQone Healthcare Group,,,,,,,,,,,,,,,Double Six OPTICIANS,
454,,,,,,,Vaxeal,,,,,,,,,,,,,,,Dr. Bhatt?s Medical Center,
455,,,,,,,InterAx Biotech,,,,,,,,,,,,,,,Dentalllive Clinic,
456,,,,,,,leadXpro,,,,,,,,,,,,,,,Nchanga North General Hospital,
457,,,,,,,Curio Biotech,,,,,,,,,,,,,,,DENTAL Training School,
458,,,,,,,Lonza,,,,,,,,,,,,,,,African Medicare Services,
459,,,,,,,Swissfillon,,,,,,,,,,,,,,,Nchanga South (KCM Hospital),
460,,,,,,,Creoptix,,,,,,,,,,,,,,,Dazzling DENTAL Clinic,
461,,,,,,,Numab Therapeutics,,,,,,,,,,,,,,,Konkola Copper Mine Hospital,
462,,,,,,,Inthera Bioscience,,,,,,,,,,,,,,,CorpMed Medical Centre,
463,,,,,,,Damian Pharma,,,,,,,,,,,,,,,Tokyo OPTICIANS,
464,,,,,,,Geistlich Pharma,,,,,,,,,,,,,,,Coptic Hospital,
465,,,,,,,Shield Therapeutics,,,,,,,,,,,,,,,Sunbird OPTICIANS,
466,,,,,,,Siegfried,,,,,,,,,,,,,,,Clear Vision Centre,
467,,,,,,,EraCal Therapeutics,,,,,,,,,,,,,,,City DENTAL,
468,,,,,,,Alnylam Pharmaceuticals,,,,,,,,,,,,,,,Health View Medical Services,
469,,,,,,,Arvelle Therapeutics,,,,,,,,,,,,,,,Mary Begg Community Clinic,
470,,,,,,,Atara Biotherapeutics,,,,,,,,,,,,,,,Chisomo Hospital,
471,,,,,,,Covis Pharma,,,,,,,,,,,,,,,Chinan Clinic,
472,,,,,,,CRISPR Therapeutics,,,,,,,,,,,,,,,Care for Business,
473,,,,,,,InnoMedica,,,,,,,,,,,,,,,Telnor Medical Clinic,
474,,,,,,,Primex Pharmaceuticals,,,,,,,,,,,,,,,Cardinal Adams Mem. Hospital,
475,,,,,,,Acino,,,,,,,,,,,,,,,Arthur Davison Children?s Hospital,
476,,,,,,,Alexion Pharmaceuticals,,,,,,,,,,,,,,,Bupilo Family Health Clinic,
477,,,,,,,Alvotech,,,,,,,,,,,,,,,Ndola Central Hospital,
478,,,,,,,Araris Biotech,,,,,,,,,,,,,,,Beit Cure International,
479,,,,,,,BC Platforms,,,,,,,,,,,,,,,Rd. Bhatts Med & DENTAL Services,
480,,,,,,,Cellis,,,,,,,,,,,,,,,Baba Medical Centre,
481,,,,,,,Cutiss,,,,,,,,,,,,,,,Chemopharm,
482,,,,,,,Ectica Technologies,,,,,,,,,,,,,,,ALWIMA Medical Centre,
483,,,,,,,Endogena Therapeutics,,,,,,,,,,,,,,,Beverly Eye Clinic,
